GEOID,NAME,variable,estimate,moe
53001,"Adams County, Washington",pop,20353,NA
53001,"Adams County, Washington",pop_white,10964,885.2765957446808
53001,"Adams County, Washington",pop_black,73,66.72340425531914
53001,"Adams County, Washington",pop_native,464,247.82978723404256
53001,"Adams County, Washington",pop_asian,138,92.93617021276596
53001,"Adams County, Washington",pop_latinx,13140,NA
53001,"Adams County, Washington",edu_total,11073,88.17021276595744
53001,"Adams County, Washington",edu_8th,288,157.27659574468083
53001,"Adams County, Washington",edu_9th,341,172.7659574468085
53001,"Adams County, Washington",edu_10th,155,108.42553191489361
53001,"Adams County, Washington",edu_11th,246,225.1914893617021
53001,"Adams County, Washington",edu_12th,163,101.27659574468085
53001,"Adams County, Washington",edu_hs,2323,334.80851063829783
53001,"Adams County, Washington",edu_ged,1074,234.72340425531914
53003,"Asotin County, Washington",pop,22285,NA
53003,"Asotin County, Washington",pop_white,20291,254.9787234042553
53003,"Asotin County, Washington",pop_black,202,98.8936170212766
53003,"Asotin County, Washington",pop_native,286,258.55319148936167
53003,"Asotin County, Washington",pop_asian,262,76.25531914893617
53003,"Asotin County, Washington",pop_latinx,1007,NA
53003,"Asotin County, Washington",edu_total,16112,96.51063829787233
53003,"Asotin County, Washington",edu_8th,105,88.17021276595744
53003,"Asotin County, Washington",edu_9th,98,72.68085106382978
53003,"Asotin County, Washington",edu_10th,193,127.48936170212765
53003,"Asotin County, Washington",edu_11th,488,200.17021276595744
53003,"Asotin County, Washington",edu_12th,350,172.7659574468085
53003,"Asotin County, Washington",edu_hs,3617,384.8510638297872
53003,"Asotin County, Washington",edu_ged,910,245.44680851063828
53005,"Benton County, Washington",pop,204551,NA
53005,"Benton County, Washington",pop_white,159628,2066.0425531914893
53005,"Benton County, Washington",pop_black,3494,508.7659574468085
53005,"Benton County, Washington",pop_native,1745,545.7021276595744
53005,"Benton County, Washington",pop_asian,6188,627.9148936170212
53005,"Benton County, Washington",pop_latinx,46945,NA
53005,"Benton County, Washington",edu_total,132817,177.531914893617
53005,"Benton County, Washington",edu_8th,849,285.9574468085106
53005,"Benton County, Washington",edu_9th,1225,425.36170212765956
53005,"Benton County, Washington",edu_10th,1350,402.7234042553191
53005,"Benton County, Washington",edu_11th,1811,403.9148936170213
53005,"Benton County, Washington",edu_12th,2098,480.17021276595744
53005,"Benton County, Washington",edu_hs,23854,1486.9787234042553
53005,"Benton County, Washington",edu_ged,6927,837.6170212765957
53007,"Chelan County, Washington",pop,78508,NA
53007,"Chelan County, Washington",pop_white,56789,1249.8723404255318
53007,"Chelan County, Washington",pop_black,339,154.89361702127658
53007,"Chelan County, Washington",pop_native,558,178.72340425531914
